k,GMM,Kmeans
2,0.7968062791799174,0.7510657013329725
3,0.7539075715542324,0.7543135530144124
4,0.7539075715542324,0.7590500033831789
5,0.7618918736044388,0.7590500033831789
6,0.7921374923878476,0.7591853305365721
7,0.7935584274984776,0.7719060829555451
8,0.7921374923878476,0.7719737465322417
9,0.7939644089586576,0.7966709520265242
10,0.7940320725353542,0.7903105758170377
11,0.7965356248731308,0.7899722579335544
12,0.7967386156032208,0.790851884430611
13,0.7961296434129508,0.7925434738480276
14,0.7961973069896475,0.7980918871371541
15,0.7961296434129508,0.7922051559645443
