k,GMM,Kmeans
2,0.10154464459151008,0.0010860720205205518
3,0.043232962467918176,0.016587624713048
4,0.058192967562125636,0.02870430989512884
5,0.06161827497565884,0.07602552984011736
6,0.06752865225659706,0.04563422369703397
7,0.06785450117431882,0.05813806908999602
8,0.07691692831915019,0.05589269985336825
9,0.07724308688110135,0.05418537847534679
10,0.07743713564437378,0.05631800825540758
11,0.07879511460837925,0.04837817553995636
12,0.07160641778363931,0.05211057566676775
13,0.07039477729657256,0.05207029001370235
14,0.06628710267437832,0.04994457353533067
15,0.06397204145667978,0.0481835442652209
