k,GMM,Kmeans
2,0.40288887595423806,0.41652407437897415
3,0.260613610462354,0.4514080125556025
4,0.2573018312498141,0.46142014541805165
5,0.26825151644318485,0.2830578517733951
6,0.2526179684815937,0.29443794170268583
7,0.23293571609183153,0.300250131704306
8,0.22294549110209663,0.2972306344918134
9,0.21613956988432986,0.29306098204686226
10,0.2159295921234322,0.2864085694533735
11,0.20102429095035482,0.2845798707310054
12,0.17349684489178074,0.2781908866556179
13,0.19164005285240876,0.27546535725358595
14,0.17372944758382905,0.27885038750423713
15,0.1412244862751708,0.28889543766799497
