k,GMM,Kmeans
2,0.8646232439335888,0.8646232439335888
3,0.8646232439335888,0.8646232439335888
4,0.8646232439335888,0.8646232439335888
5,0.89272030651341,0.8876117496807152
6,0.896551724137931,0.8876117496807152
7,0.8876117496807152,0.8888888888888888
8,0.8939974457215837,0.8825031928480205
9,0.8863346104725415,0.8914431673052363
10,0.8812260536398467,0.8773946360153256
11,0.8786717752234994,0.8939974457215837
12,0.8914431673052363,0.8837803320561941
13,0.8825031928480205,0.8825031928480205
14,0.896551724137931,0.8914431673052363
15,0.8888888888888888,0.8901660280970626
