k,GMM,Kmeans
2,0.1009552844326762,0.08941933917377588
3,0.06489597652462353,0.06218737024747224
4,0.08213704450306393,0.06367339793998678
5,0.08813329774430319,0.08161295665703966
6,0.07885210815273029,0.07955854139459116
7,0.06907911310323549,0.07814992323371771
8,0.0632861201934211,0.07127835931439046
9,0.06492825680019267,0.07224068543893024
10,0.049264601661320476,0.06632809084839895
11,0.05135573318647043,0.06656074878909038
12,0.06073166709755363,0.06004237505761275
13,0.05809057256732297,0.06154488921956366
14,0.060344874760672455,0.062097353519373705
15,0.0504411442895122,0.056369813234741016
