,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.026130056381225585,0.0009972572326660157,0.0,0.0,0.0001,"(20, 5)",2,"{'gmm__n_components': 2, 'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 5)}",19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021295533477054263,1.784161275279017e-07,0.0,0.0
1,0.034906959533691405,0.0011968135833740235,0.6666666666666657,0.6666666666666646,0.0001,"(20, 5)",3,"{'gmm__n_components': 3, 'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 5)}",1,0.6666666666666661,0.6666666666666624,0.6666666666666673,0.6666666666666606,0.6666666666666653,0.666666666666667,0.6666666666666654,0.666666666666667,0.6666666666666652,0.6666666666666662,0.0059508208168188035,0.00039889816388262293,7.934631643444318e-16,2.6150407209324e-15
2,0.05046477317810059,0.0009972572326660157,0.0,0.013636363636363637,0.0001,"(20, 5)",4,"{'gmm__n_components': 4, 'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 5)}",19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06818181818181819,0.0068698591440404695,3.814697265625e-07,0.0,0.027272727272727275
3,0.04507946968078613,0.001196575164794922,0.0,0.0,0.0001,"(20, 5)",5,"{'gmm__n_components': 5, 'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 5)}",19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006288714904352149,0.0003988981923828378,0.0,0.0
4,0.04388275146484375,0.0013961315155029297,0.6666666666666657,0.6666666666666646,0.0001,"(20, 5)",6,"{'gmm__n_components': 6, 'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 5)}",1,0.6666666666666661,0.6666666666666624,0.6666666666666673,0.6666666666666606,0.6666666666666653,0.666666666666667,0.6666666666666654,0.666666666666667,0.6666666666666652,0.6666666666666662,0.006524794302346451,0.0004887528628558561,7.934631643444318e-16,2.6150407209324e-15
5,0.06861639022827148,0.0015956878662109375,0.27557948972662644,0.26500659538874966,0.0001,"(20, 5)",7,"{'gmm__n_components': 7, 'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 5)}",13,0.0,0.0,0.0,0.0,0.0,0.0,0.6355932203389832,0.6818822049311474,0.7476038338658149,0.6431507720126011,0.0044330767223218805,0.0004885777256966609,0.34043522842038454,0.3247964836461397
6,0.05445456504821777,0.0009975910186767578,0.0,0.0,0.0001,"(20, 5)",8,"{'gmm__n_components': 8, 'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 5)}",19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003601367109367212,2.78041453115716e-07,0.0,0.0
7,0.06107254028320312,0.0013961315155029297,0.0,0.0,0.0001,"(20, 5)",9,"{'gmm__n_components': 9, 'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 5)}",19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01169075228520608,0.0004883635114502758,0.0,0.0
8,0.06167073249816894,0.0011968135833740235,0.0,0.0,0.0001,"(20, 5)",10,"{'gmm__n_components': 10, 'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 5)}",19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01211384888090988,0.00039877927176434403,0.0,0.0
9,0.061906051635742185,0.0013965606689453126,0.0,0.0,0.0001,"(20, 5)",11,"{'gmm__n_components': 11, 'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 5)}",19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003581664173805732,0.0004887919204910978,0.0,0.0
