k,type,score,label
2,Kmeans,0.135516,0
2,Kmeans,0.053114,0
2,Kmeans,0.160606,1
2,Kmeans,0.078117,1
2,Kmeans,0.120474,0
2,Kmeans,0.17237,1
2,Kmeans,0.067804,1
2,Kmeans,0.109097,0
2,Kmeans,0.204006,0
2,Kmeans,0.061567,0
2,Kmeans,0.195683,0
2,Kmeans,0.10352,1
2,Kmeans,0.156507,0
2,Kmeans,0.097483,0
2,Kmeans,0.142978,0
2,Kmeans,0.067114,1
2,Kmeans,0.114335,0
2,Kmeans,-0.028814,1
2,Kmeans,0.045907,1
2,Kmeans,0.105717,1
2,Kmeans,0.049078,1
2,Kmeans,0.104808,0
2,Kmeans,0.220913,0
2,Kmeans,0.145267,1
2,Kmeans,0.193714,0
2,Kmeans,0.239727,0
2,Kmeans,0.221602,0
2,Kmeans,0.17415,0
2,Kmeans,0.015798,1
2,Kmeans,0.214655,0
2,Kmeans,0.237964,0
2,Kmeans,0.008902,1
2,Kmeans,0.085614,1
2,Kmeans,0.018579,0
2,Kmeans,0.151365,1
2,Kmeans,0.210705,0
2,Kmeans,0.158787,1
2,Kmeans,0.118406,0
2,Kmeans,0.051877,0
2,Kmeans,0.06789,0
2,Kmeans,0.133923,0
2,Kmeans,0.190578,1
2,Kmeans,0.249081,0
2,Kmeans,0.085337,0
2,Kmeans,0.183612,0
2,Kmeans,0.053056,1
2,Kmeans,0.04622,0
2,Kmeans,0.170481,0
2,Kmeans,0.004794,1
2,Kmeans,0.159752,0
2,Kmeans,0.072713,0
2,Kmeans,0.024863,1
2,Kmeans,0.223186,0
2,Kmeans,0.18777,0
2,Kmeans,0.115017,0
2,Kmeans,0.024635,1
2,Kmeans,0.153765,1
2,Kmeans,0.098782,0
2,Kmeans,0.128524,0
2,Kmeans,0.120171,0
2,Kmeans,0.155657,0
2,Kmeans,0.067444,1
2,Kmeans,0.041052,0
2,Kmeans,0.152812,0
2,Kmeans,0.087292,0
2,Kmeans,0.059085,1
2,Kmeans,0.040959,1
2,Kmeans,0.087694,0
2,Kmeans,0.159585,0
2,Kmeans,0.122042,0
2,Kmeans,0.033419,1
2,Kmeans,0.188289,0
2,Kmeans,0.060242,0
2,Kmeans,0.207294,0
2,Kmeans,0.041516,0
2,Kmeans,0.203225,0
2,Kmeans,0.082688,0
2,Kmeans,0.156247,0
2,Kmeans,0.180147,0
2,Kmeans,0.13227,1
2,Kmeans,0.13389,0
2,Kmeans,0.06922,1
2,Kmeans,0.027539,0
2,Kmeans,0.053056,1
2,Kmeans,0.193773,0
2,Kmeans,0.054483,1
2,Kmeans,0.069789,1
2,Kmeans,0.141042,1
2,Kmeans,0.124901,0
2,Kmeans,0.102404,0
2,Kmeans,0.181494,0
2,Kmeans,0.11116,0
2,Kmeans,0.170815,0
2,Kmeans,0.111514,0
2,Kmeans,0.112238,0
2,Kmeans,0.177263,0
2,Kmeans,0.221444,0
2,Kmeans,0.011206,0
2,Kmeans,0.033276,0
2,Kmeans,0.004992,1
2,Kmeans,0.162531,0
2,Kmeans,0.115476,1
2,Kmeans,-0.026003,1
2,Kmeans,0.124406,0
2,Kmeans,0.135706,0
2,Kmeans,0.043856,1
2,Kmeans,0.07632,0
2,Kmeans,0.134468,1
2,Kmeans,0.162531,0
2,Kmeans,-0.013169,1
2,Kmeans,0.22872,0
2,Kmeans,0.064916,0
2,Kmeans,0.049023,1
2,Kmeans,0.112833,0
2,Kmeans,0.130723,0
2,Kmeans,0.121785,0
2,Kmeans,0.101101,1
2,Kmeans,0.126734,1
2,Kmeans,0.161017,0
2,Kmeans,0.095766,1
2,Kmeans,0.021749,0
2,Kmeans,0.172419,0
2,Kmeans,-0.013647,1
2,Kmeans,0.098839,0
2,Kmeans,0.046445,1
2,Kmeans,0.082212,0
2,Kmeans,0.113866,0
2,Kmeans,0.191545,0
2,Kmeans,0.130078,0
2,Kmeans,0.179075,1
2,Kmeans,0.139638,0
2,Kmeans,0.138213,1
2,Kmeans,0.104808,0
2,Kmeans,0.161976,1
2,Kmeans,0.244545,0
2,Kmeans,0.120138,0
2,Kmeans,0.092161,1
2,Kmeans,0.111723,0
2,Kmeans,0.154621,0
2,Kmeans,0.03558,1
2,Kmeans,0.067444,1
2,Kmeans,0.128452,1
2,Kmeans,0.084531,1
2,Kmeans,0.072537,0
2,Kmeans,0.098839,0
2,Kmeans,0.1042,1
2,Kmeans,0.073213,0
2,Kmeans,0.10817,1
2,Kmeans,0.028888,0
2,Kmeans,-0.007736,1
2,Kmeans,0.179064,1
2,Kmeans,0.151982,0
2,Kmeans,0.021749,0
2,Kmeans,0.069615,0
2,Kmeans,0.058303,0
2,Kmeans,0.03208,0
2,Kmeans,0.177827,0
2,Kmeans,0.121448,0
2,Kmeans,0.129548,0
2,Kmeans,0.126754,0
2,Kmeans,0.128753,0
2,Kmeans,0.109496,1
2,Kmeans,0.077872,1
2,Kmeans,0.06559,0
2,Kmeans,0.012257,1
2,Kmeans,-0.038201,1
2,Kmeans,0.065415,1
2,Kmeans,0.082465,0
2,Kmeans,0.152018,0
2,Kmeans,0.137287,1
2,Kmeans,0.216685,0
2,Kmeans,0.070563,1
2,Kmeans,0.045907,1
2,Kmeans,0.135268,1
2,Kmeans,-0.005881,1
2,Kmeans,0.106293,0
2,Kmeans,0.062458,0
2,Kmeans,0.064754,0
2,Kmeans,0.011397,1
2,Kmeans,0.113577,1
2,Kmeans,0.031204,0
2,Kmeans,0.017978,1
2,Kmeans,0.166151,0
2,Kmeans,0.096956,0
2,Kmeans,0.156732,0
2,Kmeans,-0.032422,1
2,Kmeans,0.135378,0
2,Kmeans,0.077585,1
2,Kmeans,0.141846,0
2,Kmeans,0.199603,0
2,Kmeans,0.178811,0
2,Kmeans,0.161173,1
2,Kmeans,0.125822,0
2,Kmeans,-0.007736,1
2,Kmeans,0.133173,0
2,Kmeans,0.119277,0
2,Kmeans,0.096468,0
2,Kmeans,0.05015,1
2,Kmeans,0.115653,1
2,Kmeans,0.008678,1
2,Kmeans,0.003315,1
2,Kmeans,0.065144,0
2,Kmeans,0.136959,0
2,Kmeans,0.131242,1
2,Kmeans,0.195762,1
2,Kmeans,0.109608,0
2,Kmeans,0.041993,1
2,Kmeans,0.03117,0
2,Kmeans,0.111295,0
2,Kmeans,0.209245,0
2,Kmeans,0.165166,0
2,Kmeans,0.163044,0
2,Kmeans,0.104527,0
2,Kmeans,0.07735,0
2,Kmeans,0.080453,0
2,Kmeans,0.169899,0
2,Kmeans,0.08156,1
