k,GMM,Kmeans
2,0.25076515228708507,0.2759395469825515
3,0.27606840946932054,0.29607173718214624
4,0.2730344082527077,0.30997930876685664
5,0.23691764835624163,0.30087139905571664
6,0.24370873445596947,0.30031328905649274
7,0.25923222227676246,0.2922834685105713
8,0.24236035360000382,0.2670366363787088
9,0.24472418261402834,0.30114106543964825
10,0.20533339589105523,0.27386316543391204
11,0.23150882269965026,0.2834145327387598
12,0.21151669010194424,0.2565099613329481
13,0.2288007163642491,0.26225878652345336
14,0.20237671908464852,0.2566009123908734
15,0.22615863104894113,0.2621501567489992
