k,GMM,Kmeans
2,0.7532985993639624,0.7510657013329725
3,0.7532985993639624,0.7510657013329725
4,0.7532985993639624,0.7548548616279857
5,0.7581703768861222,0.7597266391501455
6,0.7581703768861222,0.7598619663035389
7,0.7591176669598755,0.7985655321740307
8,0.7781311320116381,0.801542729548684
9,0.7761012247107382,0.8027606739292239
10,0.7853034711414846,0.8049259083835172
11,0.7853034711414846,0.8035049732728872
12,0.7873333784423845,0.800527775898234
13,0.7873333784423845,0.8008660937817172
14,0.7873333784423845,0.8048582448068204
15,0.7873333784423845,0.8020163745855606
