k,GMM,Kmeans
2,0.015290725434669826,0.14844641778266834
3,0.04262134052576332,0.1064731535455882
4,0.0680242316640682,0.09377633479482428
5,0.06988649227928596,0.09413482017389037
6,0.05906138432391462,0.06177475538321645
7,0.05994895918294355,0.06926151430443198
8,0.06165013288643972,0.06407819131887618
9,0.07025325921239532,0.059819215902195126
10,0.07155807546160398,0.05827188642893045
11,0.07154960285862687,0.05358481276933869
12,0.07106653327984352,0.06094695296583914
13,0.0709998373172272,0.05992793936979222
14,0.06770106676549031,0.053423461308506615
15,0.06639969453397457,0.050955590816032646
