k,GMM,Kmeans
2,0.42176359590940216,0.2244491878607088
3,0.24198450562130183,0.2560304111786191
4,0.24931849126830233,0.2830650487346303
5,0.2635474755575379,0.2894769260441582
6,0.3000383565259511,0.2994261303726469
7,0.2846650370983482,0.2756956001479356
8,0.20684848571054923,0.2806077307761173
9,0.23977888114589113,0.28373125295736557
10,0.23344049862864016,0.26228850286847694
11,0.23023892863311063,0.26888161315570325
12,0.19180339191326415,0.29634478801041864
13,0.1902762991425515,0.2949842101553559
14,0.19527970795922053,0.2826793033178494
15,0.19519148947074916,0.2873460356644965
