k,GMM,Kmeans
2,0.13423766663193717,0.05878190265630367
3,0.08353040835542518,0.08313925486633315
4,0.05122187588918272,0.05978066515186702
5,0.056634039241153365,0.0626845172129855
6,0.05004473573393846,0.06834220427947693
7,0.03950149988624537,0.05912649155075093
8,0.06591095817625996,0.06956409914870237
9,0.04697356474982279,0.058170908257258375
10,0.05134408229589798,0.05966647211982487
11,0.06177034595834374,0.06379775965432498
12,0.06494292294394739,0.06340388814103849
13,0.05884493116794207,0.06505655193019877
14,0.057160384381610155,0.06109193461316171
15,0.050596344384434604,0.06809216994407963
