k,type,score,label
2,Kmeans,0.091787,0
2,Kmeans,0.206934,0
2,Kmeans,0.396375,1
2,Kmeans,0.157539,0
2,Kmeans,0.363342,1
2,Kmeans,-0.038883,0
2,Kmeans,0.309558,1
2,Kmeans,0.301757,1
2,Kmeans,0.151168,0
2,Kmeans,-0.109307,0
2,Kmeans,0.205235,1
2,Kmeans,0.24652,0
2,Kmeans,0.377796,1
2,Kmeans,0.192105,1
2,Kmeans,0.224013,1
2,Kmeans,0.243481,1
2,Kmeans,0.114576,1
2,Kmeans,0.143387,0
2,Kmeans,0.222941,1
2,Kmeans,0.253207,0
2,Kmeans,0.074773,0
2,Kmeans,0.182907,1
2,Kmeans,0.088286,0
2,Kmeans,0.24652,0
2,Kmeans,0.000618,0
2,Kmeans,0.326068,1
2,Kmeans,0.07172,0
2,Kmeans,0.326408,1
2,Kmeans,0.395971,1
2,Kmeans,0.226974,1
2,Kmeans,0.213509,0
2,Kmeans,0.218759,1
2,Kmeans,0.236593,1
2,Kmeans,0.246473,1
2,Kmeans,0.175115,1
2,Kmeans,0.170856,1
2,Kmeans,0.12383,0
2,Kmeans,0.121658,0
2,Kmeans,0.239762,1
2,Kmeans,0.017185,0
2,Kmeans,0.203874,0
2,Kmeans,0.264635,1
2,Kmeans,0.311909,1
2,Kmeans,-0.061724,0
2,Kmeans,0.082561,0
2,Kmeans,0.169959,1
2,Kmeans,0.150682,1
2,Kmeans,0.224248,1
2,Kmeans,-0.027091,0
2,Kmeans,0.247704,1
2,Kmeans,0.310304,1
2,Kmeans,0.322809,1
2,Kmeans,0.134635,1
2,Kmeans,0.356458,1
2,Kmeans,0.389922,1
2,Kmeans,0.09193,0
2,Kmeans,0.234058,0
2,Kmeans,0.251054,1
2,Kmeans,0.142244,0
2,Kmeans,-0.091517,0
2,Kmeans,0.340359,1
2,Kmeans,0.314716,1
2,Kmeans,0.11969,0
2,Kmeans,0.132059,0
2,Kmeans,0.246979,1
2,Kmeans,0.332346,1
2,Kmeans,0.284853,1
2,Kmeans,0.378596,1
2,Kmeans,0.353119,1
2,Kmeans,0.409973,1
2,Kmeans,0.385251,1
2,Kmeans,0.336579,1
2,Kmeans,0.153652,1
2,Kmeans,0.132354,0
2,Kmeans,0.30094,1
2,Kmeans,0.35716,1
2,Kmeans,0.202328,0
2,Kmeans,0.214079,1
2,Kmeans,0.230688,1
2,Kmeans,0.116221,0
2,Kmeans,0.117173,0
2,Kmeans,0.158521,0
2,Kmeans,0.282259,1
2,Kmeans,0.201926,1
2,Kmeans,0.195357,1
2,Kmeans,0.222943,0
2,Kmeans,-0.033588,0
2,Kmeans,0.341006,1
2,Kmeans,0.272772,1
2,Kmeans,0.208006,0
2,Kmeans,0.3891,1
2,Kmeans,0.265328,1
2,Kmeans,0.19921,1
2,Kmeans,0.124361,1
2,Kmeans,0.265567,0
2,Kmeans,-0.07588,0
2,Kmeans,0.137135,0
2,Kmeans,0.40126,1
2,Kmeans,-0.062411,0
2,Kmeans,0.269637,1
2,Kmeans,0.011279,0
2,Kmeans,0.023473,0
2,Kmeans,0.369293,1
2,Kmeans,0.118493,1
2,Kmeans,0.389922,1
2,Kmeans,0.288801,1
2,Kmeans,0.227027,1
2,Kmeans,0.282916,1
2,Kmeans,0.093083,1
2,Kmeans,0.031029,0
2,Kmeans,0.342193,1
2,Kmeans,0.012107,0
2,Kmeans,0.091567,1
2,Kmeans,0.305499,1
2,Kmeans,0.385479,1
2,Kmeans,0.269065,1
2,Kmeans,0.017364,0
2,Kmeans,0.190078,1
2,Kmeans,0.050286,0
2,Kmeans,0.067271,0
2,Kmeans,0.198734,0
2,Kmeans,0.125373,1
2,Kmeans,0.125966,0
2,Kmeans,0.27363,0
2,Kmeans,0.239349,1
2,Kmeans,0.33649,1
2,Kmeans,0.382825,1
2,Kmeans,0.384636,1
2,Kmeans,0.192003,1
2,Kmeans,0.259266,1
2,Kmeans,0.197151,1
2,Kmeans,-0.034402,0
2,Kmeans,0.320377,1
2,Kmeans,0.248968,1
2,Kmeans,0.182051,0
2,Kmeans,0.199487,1
2,Kmeans,0.198332,1
2,Kmeans,-0.011769,0
2,Kmeans,0.312094,1
2,Kmeans,0.182968,1
2,Kmeans,0.311098,1
2,Kmeans,0.368231,1
2,Kmeans,0.106496,0
2,Kmeans,0.356735,1
2,Kmeans,0.408592,1
2,Kmeans,0.340326,1
2,Kmeans,-0.091517,0
2,Kmeans,0.023972,0
2,Kmeans,0.305174,1
2,Kmeans,0.086542,0
2,Kmeans,0.005161,0
2,Kmeans,0.213064,1
2,Kmeans,0.248964,1
2,Kmeans,0.327329,1
