k,GMM,Kmeans
2,0.31543526767647123,0.3127998929871408
3,0.2861070901607285,0.3023294956231196
4,0.1955404224425184,0.30751345137901165
5,0.2680340578814905,0.312749820741757
6,0.2111008801990675,0.31576899033403705
7,0.12987101567765166,0.29946498213644457
8,0.22014660537510458,0.27175958767045827
9,0.1659340697765775,0.2620440199282474
10,0.17769560372124565,0.25162274716060296
11,0.19967466768602102,0.2621441978400253
12,0.2124504909874289,0.2535553069861744
13,0.20395997621136272,0.2700730911714178
14,0.19404601383323017,0.2631544385579565
15,0.195324041633185,0.27531103725516914
