k,GMM,Kmeans
2,0.7510657013329725,0.7510657013329725
3,0.7728533730292984,0.7553961702415589
4,0.7728533730292984,0.7553961702415589
5,0.7736653359496583,0.8127748832803302
6,0.7796197306989647,0.8208268489072332
7,0.7794844035455715,0.8137221733540835
8,0.7796873942756614,0.8127072197036336
9,0.7804316936193247,0.8137898369307801
10,0.7859801069084512,0.81663170715204
11,0.7861830976385412,0.8136545097773868
12,0.7890926314364978,0.8164963799986468
13,0.7899045943568577,0.8179849786859733
14,0.7880100142093511,0.8129102104337236
15,0.8171053521889167,0.8157520806549834
