k,GMM,Kmeans
2,0.15680239824931896,0.15530146392775837
3,0.13526292300502132,0.1539775852649869
4,0.10387711911979355,0.11029508303582711
5,0.10809565394060168,0.11098944077675078
6,0.13252118711726915,0.09360130737816136
7,0.11052689029171187,0.08278902808856757
8,0.085080736518409,0.07781193375522706
9,0.09407229530087748,0.07741958185887891
10,0.08129253561059487,0.07664449542935921
11,0.08048750320242401,0.07294112948575715
12,0.09650599979594432,0.07340361465882593
13,0.0948009239192676,0.07089827511192799
14,0.09242019436212737,0.06883524103601575
15,0.07958735566930798,0.06700205627777003
