k,GMM,Kmeans
2,0.30522890657805674,0.30511816458978924
3,0.27458438901811144,0.3140811299221474
4,0.23936047233068866,0.2929245480069978
5,0.20553288087176583,0.28162213657618657
6,0.15452647203892744,0.2679385886494581
7,0.152854833776407,0.259128565298629
8,0.150181666712712,0.29345561832726075
9,0.10999096183269175,0.3072827876711194
10,0.07367937207680315,0.31282274678773325
11,0.03655295255372379,0.32329293633145106
12,-0.0002915652716819886,0.3260880916901067
13,0.007746926959990649,0.31652921098458364
14,0.006054259302650103,0.322166318696522
15,0.07164030218357645,0.3160118580285066
