k,GMM,Kmeans
2,0.8646232439335888,0.8646232439335888
3,0.8646232439335888,0.876117496807152
4,0.8646232439335888,0.8773946360153256
5,0.9731800766283525,0.8863346104725415
6,0.8646232439335888,0.9016602809706258
7,1.0,0.89272030651341
8,0.9936143039591315,0.9616858237547893
9,0.9974457215836526,0.9616858237547893
10,0.9987228607918263,0.9629629629629629
11,0.9974457215836526,0.9450830140485313
12,0.9987228607918263,0.9578544061302682
13,0.9948914431673053,0.9476372924648787
14,0.9948914431673053,0.9220945083014048
15,0.9936143039591315,0.9604086845466155
