k,GMM,Kmeans
2,0.12123382927681814,0.12103122927926528
3,0.0744520026280572,0.1680671203196045
4,0.06996594535744859,0.14004838692550547
5,0.2763430982187509,0.11749273025466477
6,0.05525020390128284,0.11726285760562394
7,0.328464055813396,0.09551275809273799
8,0.3031720316876159,0.1410111333728901
9,0.3086888342599064,0.13239611908838217
10,0.31224461002928544,0.13481405334402172
11,0.28199580389071827,0.11309094964826434
12,0.25785939398524615,0.11940095074631657
13,0.2582971018045262,0.0960787320673161
14,0.26881929702799245,0.08208952951417868
15,0.25553487121229773,0.11294144401032755
