k,type,score,label
2,Kmeans,0.381994,0
2,Kmeans,0.626706,0
2,Kmeans,0.627977,0
2,Kmeans,0.198611,1
2,Kmeans,0.071014,1
2,Kmeans,0.63384,0
2,Kmeans,0.414247,1
2,Kmeans,0.637229,0
2,Kmeans,0.49933,0
2,Kmeans,0.398165,0
2,Kmeans,0.274905,1
2,Kmeans,0.5774,0
2,Kmeans,0.17604,1
2,Kmeans,0.61137,0
2,Kmeans,0.125589,0
2,Kmeans,0.34016,0
2,Kmeans,0.385134,1
2,Kmeans,0.49845,0
2,Kmeans,0.485328,1
2,Kmeans,-0.066825,1
2,Kmeans,0.225867,1
2,Kmeans,0.398669,0
2,Kmeans,0.455748,0
2,Kmeans,0.358848,0
2,Kmeans,0.123483,1
2,Kmeans,0.229705,0
2,Kmeans,0.472867,0
2,Kmeans,0.640766,0
2,Kmeans,0.329418,1
2,Kmeans,0.071014,1
2,Kmeans,0.615563,0
2,Kmeans,0.160709,1
2,Kmeans,0.473619,0
2,Kmeans,0.474558,0
2,Kmeans,0.342181,1
2,Kmeans,0.467801,0
2,Kmeans,0.233077,0
2,Kmeans,0.58866,0
2,Kmeans,0.626849,0
2,Kmeans,0.453675,1
2,Kmeans,0.317354,0
2,Kmeans,0.30146,0
2,Kmeans,0.539775,0
2,Kmeans,0.463031,0
2,Kmeans,0.111939,1
2,Kmeans,0.360771,1
2,Kmeans,0.631834,0
2,Kmeans,0.124405,1
2,Kmeans,0.483483,1
2,Kmeans,0.562855,0
2,Kmeans,0.228803,0
2,Kmeans,0.370708,0
2,Kmeans,0.644049,0
2,Kmeans,0.20503,0
2,Kmeans,0.058695,1
2,Kmeans,0.593892,0
2,Kmeans,0.526255,0
2,Kmeans,-0.0401,1
2,Kmeans,0.554444,0
2,Kmeans,0.053084,0
2,Kmeans,0.645644,0
2,Kmeans,0.638634,0
2,Kmeans,0.435125,1
2,Kmeans,0.376638,1
2,Kmeans,0.284145,0
2,Kmeans,0.197309,0
2,Kmeans,0.457262,0
2,Kmeans,0.58866,0
2,Kmeans,0.317146,0
2,Kmeans,0.563232,0
2,Kmeans,0.373231,0
2,Kmeans,0.276476,1
2,Kmeans,0.537862,0
2,Kmeans,0.384638,0
2,Kmeans,0.431654,1
2,Kmeans,0.489212,0
2,Kmeans,0.640766,0
2,Kmeans,0.625918,0
2,Kmeans,0.278009,1
2,Kmeans,0.328763,1
2,Kmeans,0.137509,0
2,Kmeans,0.641481,0
2,Kmeans,0.18922,1
2,Kmeans,0.604824,0
2,Kmeans,0.225283,1
2,Kmeans,0.172529,0
2,Kmeans,0.393992,1
2,Kmeans,0.196271,1
2,Kmeans,0.636065,0
2,Kmeans,0.340813,0
2,Kmeans,0.444911,1
2,Kmeans,0.6326,0
2,Kmeans,0.327941,1
2,Kmeans,0.569823,0
2,Kmeans,0.362662,0
2,Kmeans,0.254057,0
2,Kmeans,0.593951,0
2,Kmeans,0.631834,0
2,Kmeans,0.130491,0
2,Kmeans,0.456723,0
2,Kmeans,0.631298,0
2,Kmeans,0.258756,1
2,Kmeans,0.188537,1
2,Kmeans,0.44112,0
2,Kmeans,0.365175,0
2,Kmeans,0.234054,0
2,Kmeans,0.567064,0
2,Kmeans,0.38115,0
2,Kmeans,0.638437,0
2,Kmeans,0.478906,1
2,Kmeans,0.027904,1
2,Kmeans,0.19628,1
2,Kmeans,0.458828,1
2,Kmeans,0.458829,0
2,Kmeans,0.6326,0
2,Kmeans,0.292053,1
2,Kmeans,0.303833,1
2,Kmeans,0.425858,0
2,Kmeans,0.622078,0
2,Kmeans,0.469754,1
2,Kmeans,0.287119,1
2,Kmeans,0.418312,0
2,Kmeans,0.568894,0
2,Kmeans,0.519645,0
2,Kmeans,0.4146,0
2,Kmeans,0.576451,0
2,Kmeans,0.051604,1
2,Kmeans,0.431689,1
2,Kmeans,0.336273,0
2,Kmeans,0.168958,0
2,Kmeans,0.644031,0
2,Kmeans,0.6326,0
2,Kmeans,0.396357,0
2,Kmeans,0.248578,1
2,Kmeans,0.348762,1
2,Kmeans,0.645217,0
2,Kmeans,0.620326,0
2,Kmeans,0.471245,1
2,Kmeans,0.59758,0
2,Kmeans,0.208895,0
2,Kmeans,0.373231,0
2,Kmeans,0.623885,0
2,Kmeans,0.475904,0
2,Kmeans,0.043668,1
