k,GMM,Kmeans
2,0.2761145907243812,0.2847266927690761
3,0.21517679075907828,0.242609688976881
4,0.19517780816630778,0.23636595343120934
5,0.1362316071077915,0.23969362268133323
6,0.14767668281100452,0.22658675003724538
7,0.11861514965132929,0.2284408464283611
8,0.11399955610928526,0.21889189270113535
9,0.08554325496479588,0.21074024591639828
10,0.06319634201240529,0.21548329901031565
11,0.08525378290482796,0.20870326655410731
12,0.09328560280751472,0.209949263893
13,0.07982313855871002,0.19241505185010874
14,0.026599453288291244,0.190664727056926
15,0.004876118239228927,0.2003399329602742
