,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.5177626132965087,0.1061326503753662,0.0,0.0,0.1,"(200,)",2,"{'filter__n': 2, 'NN__hidden_layer_sizes': (200,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016891796178199893,0.000957741986535202,0.0,0.0
1,0.501275110244751,0.10804219245910644,0.0,0.0,0.1,"(200,)",3,"{'filter__n': 3, 'NN__hidden_layer_sizes': (200,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03065878464154073,0.005502893238322551,0.0,0.0
2,0.5203978061676026,0.1078887939453125,0.0,0.0,0.1,"(200,)",4,"{'filter__n': 4, 'NN__hidden_layer_sizes': (200,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024430407571475514,0.003497033123879779,0.0,0.0
3,0.5335524559020997,0.10718927383422852,0.0,0.0,0.1,"(200,)",5,"{'filter__n': 5, 'NN__hidden_layer_sizes': (200,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037604329754302404,0.00357103147085151,0.0,0.0
4,0.5347063541412354,0.10975456237792969,0.0,0.0,0.1,"(200,)",6,"{'filter__n': 6, 'NN__hidden_layer_sizes': (200,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05690022033062814,0.005049650511203535,0.0,0.0
5,0.5391459941864014,0.11370291709899902,0.0,0.0,0.1,"(200,)",7,"{'filter__n': 7, 'NN__hidden_layer_sizes': (200,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07259507175663059,0.0074716296516360355,0.0,0.0
6,0.5171438694000244,0.10617222785949706,0.0,0.0,0.1,"(200,)",8,"{'filter__n': 8, 'NN__hidden_layer_sizes': (200,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03722599302225306,0.00109824276331485,0.0,0.0
7,0.5053273200988769,0.11282505989074706,0.0,0.0,0.1,"(200,)",9,"{'filter__n': 9, 'NN__hidden_layer_sizes': (200,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046238305380627856,0.011436679193396374,0.0,0.0
8,0.5056721687316894,0.1107935905456543,0.0,0.0,0.1,"(200,)",10,"{'filter__n': 10, 'NN__hidden_layer_sizes': (200,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06913255700712653,0.003839580909856882,0.0,0.0
9,0.5266913414001465,0.10612082481384277,0.0,0.0,0.1,"(200,)",11,"{'filter__n': 11, 'NN__hidden_layer_sizes': (200,), 'NN__alpha': 0.1}",133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015180034049054965,0.0007789334571062996,0.0,0.0
