k,GMM,Kmeans
2,0.7510657013329725,0.7510657013329725
3,0.7524866364436024,0.7510657013329725
4,0.7524866364436024,0.753975235130929
5,0.7660870153596319,0.753975235130929
6,0.7650043981324853,0.753975235130929
7,0.765884024629542,0.7583733676162122
8,0.7666283239732052,0.7587116854996955
9,0.7666283239732052,0.7587116854996955
10,0.7666283239732052,0.7587116854996955
11,0.7706881385750051,0.7617565464510454
12,0.7677109412003519,0.7617565464510454
13,0.7708911293050951,0.7744096352933216
14,0.7710264564584884,0.7884836592462278
15,0.7776574869747614,0.7985655321740307
