k,GMM,Kmeans
2,0.004106891721420467,0.016042684109822847
3,0.015260913004303078,0.06554010598901171
4,0.07267276067206509,0.06490276764640228
5,0.046597738909948214,0.053340221662711886
6,0.044257218946644236,0.051495297438553286
7,0.06879940031315737,0.05448798319409675
8,0.05683575672179222,0.05452414247325185
9,0.05647858690090623,0.048555963774540724
10,0.05512884107924023,0.04797007359799095
11,0.057708093663141176,0.04772005866576556
12,0.05528692938967862,0.04209309014342832
13,0.047610730159069144,0.0483786880249504
14,0.04927848729494663,0.0476722708815277
15,0.048967345710931795,0.04974448365500637
