,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.6663821697235107,0.008379650115966798,0.5,0.5,0.1,"(200,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (200,), 'km__n_clusters': 2}",229,0.5,0.5,0.5000000000000001,0.5,0.5,0.49999999999999994,0.5,0.49999999999999983,0.5000000000000001,0.5,0.010862944447526357,0.00048705211270739303,7.021310594786893e-17,7.850462293418876e-17
1,0.8625673294067383,0.011170148849487305,0.535481633537036,0.537043439904803,0.1,"(200,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (200,), 'km__n_clusters': 3}",221,0.5573969349784568,0.5714998829104333,0.5183791128084607,0.516238256605229,0.5775521445358403,0.5647828447713767,0.5,0.49999999999999983,0.5240761169332598,0.5326962152369761,0.2193938857950705,0.005896719435581585,0.02804267712150986,0.027497969020908224
2,1.0958850383758545,0.008580493927001952,0.6021585682151559,0.6026143507388521,0.1,"(200,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (200,), 'km__n_clusters': 4}",181,0.599778446925186,0.6022966774113562,0.6038618781825305,0.6088314231662855,0.6128965922444183,0.5936349767198389,0.599084410497454,0.5934009697771165,0.5951691487405772,0.6149077066196632,0.05298023021340165,0.00048439995991348425,0.0060360522123474895,0.008430836865253987
3,1.5299519062042237,0.008979177474975586,0.5852705682757053,0.5889293015093273,0.1,"(200,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (200,), 'km__n_clusters': 5}",200,0.6481847336466902,0.6604636746838581,0.6463058166862515,0.6499308941969493,0.5,0.49999999999999994,0.5501089404622013,0.5442952700406828,0.581752160323589,0.5899566686251468,0.6076122530883643,5.7962689968195896e-06,0.05692868348364835,0.06122096662283444
4,2.1896605014801027,0.009178638458251953,0.6635612895457473,0.6631334947332654,0.1,"(200,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (200,), 'km__n_clusters': 6}",159,0.6221859087348218,0.6411482009532468,0.6650509204857032,0.6621718048323552,0.7065425479827653,0.6853496845469321,0.6666385135135136,0.6606971076581167,0.6573864681007539,0.6663006756756757,0.42047860833702255,0.00039760645481426454,0.026867671088453466,0.014098255899209851
5,2.09574408531189,0.009179115295410156,0.6731396621416991,0.6784377189190586,0.1,"(200,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (200,), 'km__n_clusters': 7}",134,0.6485250195848022,0.6661239794840712,0.6769058460634549,0.6875098148607323,0.7027063748531139,0.6935482500849471,0.6938528202115161,0.6948354891588836,0.6436982901268615,0.6501710610066588,0.5887895324223336,0.00040638447856931035,0.02362193941443553,0.01749371358024196
6,3.022562551498413,0.008986377716064453,0.6947494613251097,0.7005707519321275,0.1,"(200,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (200,), 'km__n_clusters': 8}",86,0.6623739228358794,0.6786798840124528,0.7152002546024286,0.7200045802683418,0.7024884939287113,0.6952540269627424,0.7245042596944771,0.7230704902149855,0.6691717227431514,0.6858447782021152,1.4941192818536602,8.43422362160084e-06,0.024762301645982136,0.017934569253663653
7,2.945951318740845,0.008985042572021484,0.7118383681661367,0.7123631055891351,0.1,"(200,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (200,), 'km__n_clusters': 9}",15,0.7218272620446533,0.7274529116272234,0.7106002741872307,0.7047971136273887,0.7201368488053271,0.7092970263841821,0.7122062279670975,0.708907760971981,0.694415333701048,0.7113607153349001,0.5618636621076925,8.232866611917595e-06,0.009734500221304428,0.007839534615887114
8,1.9155992984771728,0.00929412841796875,0.6928329053963821,0.6940321667648901,0.1,"(200,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (200,), 'km__n_clusters': 10}",93,0.6664940755973364,0.6881796360580764,0.7147020661966317,0.7107251747160003,0.7056453192322758,0.6914600380196709,0.7317885820603213,0.7305848853440596,0.6455184776613349,0.6492110996866431,0.2723871215637579,0.0005893068873140485,0.03191218921832649,0.027072324488202654
9,2.1041306972503664,0.008978939056396485,0.7055524917468159,0.7059720166541691,0.1,"(200,)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (200,), 'km__n_clusters': 11}",43,0.7224992655699177,0.7285305374181521,0.6777957305131219,0.6818954849344757,0.7265202702702702,0.7068644332405799,0.7128965922444184,0.7110649640466153,0.6880446773303917,0.7015046636310224,0.48906186106389393,5.7962689968195896e-06,0.019275684423440215,0.015068231497078869
10,3.0493133068084717,0.008978176116943359,0.7083885416115416,0.7074824701296829,0.1,"(200,)",12,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (200,), 'km__n_clusters': 12}",30,0.6890753525264395,0.6957051661753496,0.7010673717195457,0.6950255875141197,0.7192249314531921,0.7076989833870567,0.7167474539757149,0.7166161574418454,0.7158301158301158,0.722366456130043,0.6070687126786771,7.164309701189307e-06,0.011569798090381968,0.010944249394970565
11,3.0371905326843263,0.008978128433227539,0.6973980254046996,0.7021930143396288,0.1,"(200,)",13,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (200,), 'km__n_clusters': 13}",69,0.7104595084214649,0.7209451997869429,0.6879418820994909,0.6886346782562379,0.703334312573443,0.6909451883075735,0.686546464943204,0.69455367064312,0.6987084022798309,0.7158863347042694,0.5632591475556619,7.5935475301339655e-06,0.009107814486697981,0.013474814444511596
