k,GMM,Kmeans
2,0.551259777839428,0.4416250205405919
3,0.5799517677516155,0.3633222420839986
4,0.3814041917439913,0.414318418644083
5,0.09979789171165102,0.3252383451386065
6,0.06742997444006789,0.31459237498800713
7,0.1625630870668931,0.3167271375050958
8,0.1367886831326204,0.3031261041431025
9,0.11657640762478988,0.2972514777425223
10,0.09814058917679105,0.28925697359902175
11,0.0837849190160045,0.2776803282972204
12,0.09718134138509295,0.2602178686452084
13,0.0333996120487474,0.26031500133377555
14,0.05129548000708419,0.2747529845017954
15,0.012493474191973943,0.25870291132515383
