k,GMM,Kmeans
2,0.8646232439335888,0.8646232439335888
3,0.8646232439335888,0.8646232439335888
4,0.8646232439335888,0.8646232439335888
5,0.8646232439335888,0.8646232439335888
6,0.8646232439335888,0.8646232439335888
7,0.8722860791826309,0.8646232439335888
8,0.8722860791826309,0.8722860791826309
9,0.8786717752234994,0.8735632183908046
10,0.8646232439335888,0.8722860791826309
11,0.8684546615581098,0.8735632183908046
12,0.8722860791826309,0.8735632183908046
13,0.8735632183908046,0.879948914431673
14,0.8850574712643678,0.879948914431673
15,0.8850574712643678,0.879948914431673
