k,GMM,Kmeans
2,0.007684623751801776,0.07535195611076297
3,0.022171404612794713,0.07816521369094709
4,0.05650104955647868,0.04620925031087421
5,0.056998958033675995,0.035059502786480526
6,0.03916007266318993,0.03924250736192231
7,0.03415875065118148,0.03583111337316593
8,0.03321647627915766,0.03353031776232174
9,0.03003480582050761,0.031007693540909063
10,0.03125990851265624,0.033578707237709296
11,0.033353555706339744,0.03235821874702063
12,0.030369748501794226,0.033271978311356934
13,0.02764032319952262,0.030032889157405613
14,0.027399899920941086,0.030621895104963343
15,0.026051722976086867,0.03170325667520686
