k,type,score,label
2,Kmeans,0.47862,1
2,Kmeans,0.589397,1
2,Kmeans,0.37978,1
2,Kmeans,0.35824,1
2,Kmeans,0.279614,1
2,Kmeans,0.494523,1
2,Kmeans,0.126838,0
2,Kmeans,0.513664,1
2,Kmeans,0.462036,0
2,Kmeans,0.505135,0
2,Kmeans,0.473969,0
2,Kmeans,0.440874,0
2,Kmeans,0.398376,1
2,Kmeans,0.048915,1
2,Kmeans,0.252639,1
2,Kmeans,0.550233,1
2,Kmeans,0.512426,1
2,Kmeans,0.387298,0
2,Kmeans,0.242085,0
2,Kmeans,0.579275,1
2,Kmeans,0.315967,0
2,Kmeans,0.290592,0
2,Kmeans,0.304839,1
2,Kmeans,0.449625,0
2,Kmeans,0.043245,0
2,Kmeans,0.456701,1
2,Kmeans,0.388193,0
2,Kmeans,0.481967,1
2,Kmeans,0.441932,0
2,Kmeans,0.526988,1
2,Kmeans,0.071024,0
2,Kmeans,-0.02375,0
2,Kmeans,0.361333,0
2,Kmeans,0.534563,1
2,Kmeans,0.227873,0
2,Kmeans,0.54503,0
2,Kmeans,0.515867,1
2,Kmeans,0.212426,0
2,Kmeans,0.220453,0
2,Kmeans,0.587157,1
2,Kmeans,0.477292,1
2,Kmeans,0.468981,0
2,Kmeans,0.562471,1
2,Kmeans,0.507793,0
2,Kmeans,0.203246,1
2,Kmeans,0.115521,0
2,Kmeans,0.478107,0
2,Kmeans,0.596562,1
2,Kmeans,0.281402,1
2,Kmeans,0.341478,1
2,Kmeans,0.256224,1
2,Kmeans,0.550369,0
2,Kmeans,0.47218,1
2,Kmeans,0.562959,1
2,Kmeans,0.194477,0
2,Kmeans,0.566529,1
2,Kmeans,0.373829,0
2,Kmeans,0.555987,1
2,Kmeans,0.44995,0
2,Kmeans,0.231736,1
2,Kmeans,0.569912,1
2,Kmeans,0.548326,0
2,Kmeans,0.547482,1
2,Kmeans,0.599552,1
2,Kmeans,0.007503,0
2,Kmeans,0.463173,1
2,Kmeans,0.157791,0
2,Kmeans,0.504632,1
2,Kmeans,0.346006,1
2,Kmeans,0.534442,1
2,Kmeans,0.324282,1
2,Kmeans,0.57772,1
2,Kmeans,0.212499,1
2,Kmeans,0.293854,0
2,Kmeans,0.505076,0
2,Kmeans,0.243549,0
2,Kmeans,0.556922,0
2,Kmeans,0.134131,1
2,Kmeans,0.192243,0
2,Kmeans,0.200492,0
2,Kmeans,0.569912,1
2,Kmeans,0.498139,0
2,Kmeans,0.557579,1
2,Kmeans,0.082786,1
2,Kmeans,0.212327,1
2,Kmeans,0.529956,1
2,Kmeans,0.562635,1
2,Kmeans,0.391223,0
2,Kmeans,0.094504,0
2,Kmeans,0.273584,0
2,Kmeans,0.390292,1
2,Kmeans,0.57845,1
2,Kmeans,0.544707,1
2,Kmeans,0.177649,1
2,Kmeans,0.293046,0
2,Kmeans,0.312985,0
2,Kmeans,0.322142,0
2,Kmeans,0.4144,1
2,Kmeans,0.442526,1
2,Kmeans,0.020544,0
2,Kmeans,0.589397,1
2,Kmeans,0.261501,1
2,Kmeans,0.558487,1
2,Kmeans,0.117669,1
2,Kmeans,0.594417,1
2,Kmeans,0.543856,0
2,Kmeans,0.316916,1
2,Kmeans,0.504596,1
2,Kmeans,0.554805,0
2,Kmeans,0.258296,0
2,Kmeans,0.404781,1
2,Kmeans,0.600944,1
2,Kmeans,0.263564,1
2,Kmeans,0.26757,0
2,Kmeans,0.138663,1
2,Kmeans,0.544839,0
2,Kmeans,0.588054,1
2,Kmeans,0.526439,1
2,Kmeans,0.270405,0
2,Kmeans,0.553314,1
2,Kmeans,0.551578,1
2,Kmeans,0.50015,0
2,Kmeans,0.32722,0
2,Kmeans,0.064345,0
2,Kmeans,0.229614,1
2,Kmeans,0.520771,0
2,Kmeans,0.494912,1
2,Kmeans,0.554596,0
2,Kmeans,0.268521,1
2,Kmeans,0.541738,1
2,Kmeans,0.069715,0
2,Kmeans,0.556173,0
2,Kmeans,0.134884,0
2,Kmeans,0.451544,1
2,Kmeans,0.501732,0
2,Kmeans,0.54575,1
2,Kmeans,0.512717,1
2,Kmeans,0.19121,1
2,Kmeans,0.369193,1
2,Kmeans,0.45652,1
2,Kmeans,0.196568,1
2,Kmeans,0.130818,1
2,Kmeans,0.138825,0
