k,GMM,Kmeans
2,0.6138616407385615,0.33402154862581657
3,0.22678378928226778,0.305784706267823
4,0.27343357914796435,0.29259696190252105
5,0.2765630870481041,0.2689021358119414
6,0.22620030844709652,0.26074287058474865
7,0.2052912992436996,0.27298663971753556
8,0.21958110421646063,0.2548010816406671
9,0.22322513166171676,0.2585576142879954
10,0.23229328038386188,0.2668066760113505
11,0.22034525149335554,0.2631052616228395
12,0.18190894311522463,0.26356952620264906
13,0.14929782300036368,0.2635869506103229
14,0.171466851243539,0.2662346293337008
15,0.14204817439232117,0.25435799985481394
